Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,slope,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
ANIK,0.6560169991678964,0.0889356079490225,0.010396351126887944,-0.017066972774828205,0.03390958977229948,15.550000190734863,14.964220513943019,0.039145351824108714,0.8509895676338268,0.11626440231701198,0.5873015873015873,26,True,True,15.325000095367432,15.006500053405762,14.751666704813639,13.728000011444092,0.75,0.125,-0.07419783782398551,0.03358809672795113,0.03569700907813303,0.03403766539513889,2.3152295409181636,1.1069701913987946,0.5998862036659702,89.0035330014453,87.2852095712221,89.81451742412077,80.44403404528666,92.29564798458327,97.9283764252449,82.71238156415609,97.35024891601091,24.254857876987316,12.742893849365666,10.201541673357958,19.572025052192068,12.903484824152883,97.9283764252449,46.081580215191906,2.6658101814678017,Other
ANRO,0.5809079956319718,0.3452203630008384,0.04221029946325627,-0.00622027357367415,0.06135207836899705,27.15999984741211,24.166995717656228,0.12384676046303988,0.8276697845025508,0.1696006126026587,0.6190476190476191,30,True,True,25.607999801635742,23.5604998588562,23.054666646321614,21.49599998474121,0.625,0.125,-0.17869619289666966,0.03260337010766759,0.07905384619787474,0.07404271353391073,2.442072827796578,0.8748855723625079,0.5273230243093546,88.73173277661796,94.70049783202184,97.04111128954553,80.44403404528666,75.77485145334832,98.29773566725551,75.68652641721535,96.69182591938333,22.62224987955677,5.327605588565922,2.974947807933194,19.572025052192068,26.60992452224185,98.29773566725551,37.546169905251325,3.3242331780953913,Other
XOMA,0.4624813826265338,0.34736481372507744,-0.006059118272370729,-0.015750026702880858,-0.005305782957421503,39.369998931884766,35.874238963374495,0.0974448537313708,0.7369060112375763,0.23878841191392894,0.5555555555555556,28,True,True,38.99600028991699,35.576500415802,32.97166690826416,29.9706001663208,0.875,0.0,-0.15127920013278598,0.033485819020177894,0.04593311031785979,0.039401128640484576,2.177261294674832,1.0494419367860381,0.41291048845405104,88.42239441143407,92.91392323751406,88.84695680102779,80.44403404528666,82.82881002087683,97.94443552272362,80.4560783683957,95.35892082864943,23.961980086719127,7.114180183073711,11.169102296450939,19.572025052192068,18.3956961618757,97.94443552272362,45.527541352176,4.657138268829292,Other
STRO,1.177083299245709,0.5074246601326421,0.2105621232539718,0.02747243776572156,0.03435226659659913,35.529998779296875,28.26117163608486,0.25720190361573403,0.8614720445404692,0.27225182586551266,0.5555555555555556,32,True,True,30.272000122070313,27.496500110626222,25.897333526611327,23.42300006866455,0.75,0.125,-0.18678725690118178,0.04185697796030774,0.07990173549703254,0.06321620096201971,1.8373713938657759,0.9278443198368399,1.1032909302531066,88.3732134254055,97.30207162357476,91.66532840854344,80.44403404528666,77.49718965794122,93.88148386060703,72.95647984583266,99.22916332102136,22.95487393608479,2.726031797013008,8.35073068893528,19.572025052192068,27.701943150794925,93.88148386060703,44.6282318933676,0.7868957764573631,Other
PKE,0.3393874651431454,0.19857400618460527,0.02337584972269327,-0.03048609028862787,-0.04151262895890105,33.709999084472656,31.279978725644483,0.07768612568895236,0.792133788249133,0.14967581789980655,0.5714285714285714,26,True,True,33.089999771118165,30.69665870666504,29.53216686248779,28.163912658691405,0.625,0.125,-0.09626590396171038,0.049402462779883145,0.04076525649383023,0.03856423905428225,2.04751067391427,1.698523497112621,0.2939888466859862,87.84506985707401,90.82222579091054,88.10823831700658,80.44403404528666,86.83956961618756,88.19656335313955,87.49799261281515,92.61281515978801,24.369680423960176,9.205877629677211,11.907820780472138,19.572025052192068,15.545206359402602,88.19656335313955,54.54472458647824,7.403243937690701,Other
ACHC,0.8488449461491889,0.23446450284736295,0.04165120359446916,0.006106324546055824,0.020772583226328807,28.010000228881836,25.752019113525705,0.08768171169033398,0.8449791442070623,0.24881048370066874,0.5873015873015873,28,True,True,27.004000091552733,25.57849988937378,24.813666598002115,22.900200004577638,0.75,0.125,-0.1431385040725589,0.0505240629365145,0.04493141277832182,0.03992197779726362,1.7977527185071809,0.87799223364045,0.7861782358199985,87.75774851453347,94.58808414967079,92.9661153043199,80.44403404528666,83.07772603179701,87.29725389433113,70.66805845511482,98.41014934960656,21.8680745142123,5.440019270916975,7.049943793158825,19.572025052192068,22.121406776939136,87.29725389433113,43.06246988919222,1.6059097478721696,Other
ADEA,0.5347583396675376,0.20800317145832597,0.09322339327245502,0.03285905482089467,0.026599292521382534,30.489999771118164,26.738221970416145,0.14031515651463594,0.9030394716787057,0.18722144954948017,0.6031746031746031,25,True,True,28.142000007629395,26.49350004196167,25.490956179300944,23.232719764709472,0.875,0.0,-0.1305877210238839,0.05994581317442267,0.036302299376732655,0.031187746476644112,1.9210053319402949,1.3685222913827857,0.48273761370153556,87.61502328569135,93.88951340934639,88.70643969808897,80.44403404528666,85.57491568973825,79.12317327766179,83.89272522884212,96.32246667737273,22.138871045447242,6.138590011241368,11.309619399389755,19.572025052192068,15.649590493014292,79.12317327766179,53.42861731170708,3.6935924201059898,Other
ADTN,0.7121213551577695,0.35275348157730274,0.016796681785484265,-0.03857052922273538,-0.03142852783203125,16.950000762939453,14.760869575540136,0.148306383725988,0.758407420685978,0.1122940655128198,0.5873015873015873,30,True,True,16.161999893188476,14.52049994468689,13.379666582743328,12.067199935913086,0.75,0.125,-0.10289985696668928,0.06303401485861952,0.04626432994184827,0.043826392604766805,1.511325214790636,1.0520193173893024,0.6540888991448599,87.46808254376104,92.92998233499277,94.81291151437289,80.44403404528666,88.83491247791875,76.37706760880039,72.21776136181145,97.6232535731492,21.211859643488037,7.09812108559499,5.20314758310583,19.572025052192068,16.36422033081741,76.37706760880039,53.89433113859001,2.3928055243295328,Other
ATEX,0.8446001474775158,0.16173415026480556,0.10877104368830182,0.05046952119458413,0.01381967872193985,44.75,39.96261521864365,0.11979658376118753,0.7710209439381104,0.26499879991953273,0.5873015873015873,32,True,True,39.903999710083006,39.69099998474121,39.214833450317386,37.705900039672855,0.625,0.125,-0.13497233218297858,0.042997021578157886,0.0566612440652259,0.05440541942502057,1.0734486817571016,1.3802129123984546,0.7820773148538719,87.26292757347038,91.41641239762325,95.78448691183556,80.44403404528666,81.39553557090092,93.1106471816284,66.17954070981212,98.36197205717039,25.496226112092504,8.611691022964509,4.231572185643167,19.572025052192068,20.989240404689255,93.1106471816284,71.47904287779028,1.6540870403083348,Other
CLYM,0.8940937840632665,0.3922156331922928,0.05442182681619819,0.0367892880582224,-0.007470618535663095,9.300000190734863,8.10488902242576,0.14745558699228314,0.7867582124027583,0.062156777273857836,0.6031746031746031,32,True,True,8.821000003814698,7.846499967575073,7.540999984741211,7.100200004577637,0.625,0.25,-0.17320700353136959,0.07076721779360168,0.08141391170312859,0.07715051832637515,1.9076871480426263,2.748804045758748,0.8298933616593019,87.07844869118357,93.22707563834913,97.02103741769713,80.44403404528666,76.42524490123654,69.74466035008832,88.43744981532038,98.69921310422353,23.338084149670788,6.801027782238638,2.9950216797815963,19.572025052192068,35.36213264814517,69.74466035008832,58.42299662758953,1.316845993255179,Other
