Ticker,6m_return,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema9,ema9_dist,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,ema21w,sma30w,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,gain_from_60d_low,pct_from_60d_high,consolidation_range_10d,vol_contraction,htf_score,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
WK,0.182269938076298,0.624807248109796,0.29454095874582775,0.13217686047015528,0.06806657118782762,0.08344351888703867,73.75,66.32021255528493,0.11202900531299653,61.70563954664969,0.1951905942769579,0.0,0.0,58.221666717529295,44.310001373291016,0.6644097881805685,0.01138236220373581,42961540.2080574,0.09898892092408518,0.6815029402202123,0.8869915195396058,0.2862912806497741,0.2713252198771366,58.45684658143483,58.01033350626628,10.83,0.6507936507936508,32,True,True,64.80700035095215,60.708499908447266,58.221666717529295,54.32480003356934,0.75,0.125,-0.12966121619158777,0.022783069117543586,0.04243952250671225,0.0330179172913041,5.6923342967244706,1.3395939592692472,0.5587344260117146,0.6248,0.0,0.2062,1.0017,48.1,88.95913538658967,89.03994225216555,98.67260186076356,81.30413859480271,79.65591915303176,91.385948026949,90.13474494706449,96.02181584857234,23.831207892204045,10.976098812961181,1.3434392043631695,18.711902470324027,27.354026307346807,91.385948026949,44.37760667308309,3.994225216554379,Other
RRGB,2.00911845997539,1.4749999046325684,0.4102563597476893,0.2073170547326496,0.2643677796927049,0.21323527005579462,9.899999618530273,8.379819718522691,0.18140961871141303,7.8567615578038055,0.26006110096303,0.0,0.0,7.475999927520752,2.5899999141693115,2.822393801779523,0.6282894313748187,2488858.4492575647,0.9415172063888184,0.8604777162018306,0.5877085400644129,0.07566676010733928,0.9851613477538885,6.247990175770682,4.986999988555908,9.28,0.5873015873015873,34,True,True,8.27399983406067,7.758499884605408,7.475999927520752,6.8051999568939205,0.625,0.25,-0.17772210765133284,0.032557460706271385,0.0772746005214138,0.04898988684082696,2.472276373725798,6.3257701869147995,1.3743539796578996,1.64,0.0,0.2111,2.0822,68.1,88.33453641321785,92.03962143086301,96.35065768367019,81.30413859480271,70.29595765158807,88.43439204363169,93.63971767725377,99.24606993904396,26.40680141161373,7.976419634263715,3.665383381456529,18.711902470324027,43.92444658325313,88.43439204363169,55.47000320821303,0.769971126082772,Other
NSIT,0.8480057829983702,0.7526581844192477,0.353851548219001,0.04875434250073269,0.037429673862204284,0.01247823079730158,156.60000610351562,147.29821963170377,0.0631493475961184,136.3679959919255,0.14836333088584855,0.0,0.0,126.85400009155273,64.43000030517578,1.4305448604962316,0.18063937593577137,58204330.941798404,0.6087816137312639,0.7321298207256156,0.9560472358244625,0.7398569671789074,0.6215377239568962,112.22795111532737,96.57500025431315,8.93,0.6666666666666666,28,True,True,145.24500045776367,132.3290008544922,126.85400009155273,121.25060028076172,0.625,0.375,-0.11370092696189854,0.0027725678156750163,0.04418840691728466,0.03263546114043701,3.93459937744985,0.5775721236374842,0.681386301214272,0.7685,0.0,0.1841,0.905,54.6,87.29347128649344,92.49679178697465,95.83734359961502,81.30413859480271,78.11597690086623,98.23548283606031,63.16971446904075,97.40134744947065,24.602181584857238,7.519249278152069,4.17869746551171,18.711902470324027,48.35980109079243,98.23548283606031,19.497914661533525,2.6146936156560794,Other
PUBM,1.7000000670552244,0.8151260352675157,0.2677916758296599,-0.028121483728375113,-0.02096311274116479,0.005820743870394441,17.280000686645508,16.066887215110476,0.07550395140597804,14.728790046679281,0.17321250638245175,0.0,0.0,13.927000077565511,6.28000020980835,1.7515923740984798,1.0869566719713843,10481512.68408165,0.8070882447360769,0.6871089257148314,0.7329343605445267,0.08472590233140644,0.6631643662607033,12.243454557953873,10.389833402633666,10.01,0.6349206349206349,30,True,True,15.398000144958496,14.12300009727478,13.927000077565511,13.074400081634522,0.625,0.125,-0.11062904854747058,0.0009090154432406908,0.044996428960975464,0.03213458147977481,1.3571419507029643,1.2402484639988611,0.7413138955485757,0.8151,0.0281,0.2835,2.5738,44.8,87.28304459416105,86.37311517484761,97.3251523901187,81.30413859480271,78.50898299647096,98.8771254411293,74.5107475136349,97.80237407763876,26.1216714789862,13.642925890279113,2.6908886750080203,18.711902470324027,24.74735322425409,98.8771254411293,56.79339108116778,2.213666987487969,Other
EAT,0.46800793937714963,0.744862892945898,0.2865153342314028,0.059547086340287124,0.07782995459169748,-0.029606729827839233,238.61000061035156,227.45976649495023,0.04902068742627007,212.80380885977516,0.12126752753556738,0.0,0.0,200.78766733805338,102.29000091552734,1.3326815766420745,0.5094255936646682,254708355.54072952,0.6027499374394392,0.946826962960862,0.8649605303860538,1.6490802603749453,0.47456694525510773,177.20566144550918,161.81700083414714,6.55,0.6507936507936508,28,True,True,226.91100006103517,210.73899993896484,200.78766733805338,183.75820129394532,1.0,0.0,-0.0793616039409086,0.09041211173386889,0.04314715778448637,0.045553871421998425,1.7544494346991675,1.142986525918229,0.6739080054383016,0.8888,0.0296,0.1309,1.4035,55.8,87.18780076997113,97.6018607635547,95.58870709015079,81.30413859480271,88.05341674687199,54.796278472890606,78.30445941610523,97.35322425409048,16.84432146294514,2.4141803015720242,4.427333974975938,18.711902470324027,13.80333654154636,54.796278472890606,49.53480911132499,2.6628168110362527,RESTAURANTS
SMTI,0.7581059861492919,0.578558262980019,0.3491311318773403,0.0017595711429885079,-0.006399104533686561,-0.004951994598753428,34.15999984741211,33.53257647196604,0.01871086094355471,31.03627605896829,0.10064750624426742,0.0,0.0,28.477000172932943,16.34000015258789,1.090575246537065,0.12368421960735597,11744446.776821518,0.28372128550790887,0.6674550110598839,0.6125928384342002,0.19501488979694112,0.5362475242395653,25.396892999238485,22.23599993387858,7.15,0.6666666666666666,27,True,True,34.150000381469724,30.468000221252442,28.477000172932943,26.07200008392334,0.75,0.125,-0.12526277153860732,0.013507344041081153,0.05886966776549683,0.043367346653899325,15.075746468081483,0.8391183445056312,0.5143661568685577,0.6415,0.0064,0.0111,1.8301,63.1,87.18358999037535,87.90102662816811,94.38562720564646,81.30413859480271,80.29756175810074,94.44979146615336,78.46487006737247,95.18768046198267,23.717115816490217,12.115014436958614,5.630413859480269,18.711902470324027,26.712383702277833,94.44979146615336,31.02341995508502,4.8283606031440485,Other
WTW,0.1884942571737139,0.35360080640797503,0.134746731462823,-0.03140773986371612,-0.024533497049227786,-0.018513674079017828,333.989990234375,336.3116141857086,-0.006903192912188944,322.8806230772627,0.03440704199351688,0.0,0.0,311.0119974772135,241.24188232421875,0.38446105218788984,0.02472539150799327,163527547.25596315,0.11284609689670058,0.8479200468524382,0.6074642519106733,1.594450499421807,0.1589176570197866,295.17053160504724,288.19130350748696,6.38,0.6031746031746031,19,True,True,339.98900451660154,321.3739990234375,311.0119974772135,290.4422937011719,0.875,0.125,-0.041453493722870896,0.002789922615386759,0.02405869464371249,0.02349086575507659,1.951735671994509,1.2995969522359967,0.29855660016279834,0.3536,0.0314,0.0314,0.8728,52.9,87.07691690728264,91.26564003849855,72.2850497273019,81.30413859480271,93.9084055181264,98.21944177093359,82.69971126082771,90.43952518447225,27.130253448829006,8.750401026628168,27.730991337824832,18.711902470324027,14.216393968559514,98.21944177093359,50.64164260506898,9.576515880654474,INSURANCE BROKERS
CTRN,0.6731762557140184,0.7379342964858535,0.16341503465855214,0.02545052155710595,-0.021527951996306485,0.007025186382653629,74.54000091552734,72.78041980127308,0.024176572752105524,69.00381950928029,0.08023007198177623,0.0,0.0,65.57533327738444,30.739999771118164,1.4248536587681295,1.280208138480168,9062074.423463058,0.5711649181677567,0.9032678078849473,0.8978522307799947,0.563713041868078,0.4633571957130944,56.583389460524565,50.93766657511393,5.45,0.5714285714285714,31,True,True,72.56199951171875,68.89799995422364,65.57533327738444,60.732799987792966,0.75,0.125,-0.1541151947870369,0.029895538633382266,0.041926926881020586,0.04169333633120468,1.9741075073302508,0.8277021567979608,0.6672611605040619,1.0546,0.0215,0.1248,0.8666,63.4,87.02358036573628,94.28537054860442,93.85627205646455,81.30413859480271,76.58405518126403,89.2845684953481,70.3320500481232,97.28905999358358,22.72858517805582,5.730670516522297,6.159769008662175,18.711902470324027,30.425890279114533,89.2845684953481,38.001283285210135,2.7269810715431504,Other
GTLB,0.46551719357441457,0.9181414930269107,0.3651393361609705,0.11239407534560353,0.02944663609111211,0.062239574010218825,43.349998474121094,39.36212917115371,0.10131233718652262,36.45711305078428,0.18906832841468044,0.0,0.0,34.567833264668785,19.420000076293945,1.2322347221326004,0.0586080016231327,155340967.44921455,0.2838796227694658,0.6931728966720854,0.9222675043049547,0.1974723956185735,0.5260859907290295,31.787116570726774,28.40599988301595,6.56,0.6507936507936508,35,True,True,38.43849983215332,35.523499965667725,34.567833264668785,32.29449996948242,0.75,0.25,-0.235572677601304,0.03980345262952435,0.05599925428648058,0.0521585008592466,2.3971577327235005,1.5381232322001177,0.8401402274767025,0.7027,0.0,0.2039,1.2576,50.1,86.9265319217196,89.57330766762914,99.27414180301572,81.30413859480271,68.42717356432468,85.70741097208855,87.96118062239333,98.1552775104267,26.775344882900225,10.442733397497594,0.7418992621110041,18.711902470324027,49.546839910170036,85.70741097208855,50.57747834456208,1.860763554700032,ARKK
PAYC,0.8775149517068037,0.6783193143356562,0.48611118575335255,0.04042989830976293,0.05371535308283553,0.05845326663607398,223.6300048828125,202.4673766228371,0.10452364530507968,181.44552093645785,0.23249118373733588,0.0,0.0,164.05933430989583,113.2808837890625,0.9741195284036479,0.045066491193692555,172252628.53927,0.5090946606469009,0.5023430722966372,0.8732529694267702,0.9664695797611126,0.617059072270331,153.88452992124047,138.29427057902018,16.92,0.5714285714285714,28,True,True,197.1790008544922,174.81850204467773,164.05933430989583,150.7526007080078,0.75,0.25,-0.16765381178574557,0.0018604510927586117,0.03836252801626075,0.028564089213066385,2.0520989888591874,1.1236117833239865,0.6100704229001469,0.8083,0.0,0.2777,1.0638,48.9,86.51808630093039,87.30349695219763,91.16137311517485,81.30413859480271,75.17244145011229,98.47609881296118,80.27751042669234,96.7115816490215,28.59219602181585,12.712544112929098,8.854667949951876,18.711902470324027,42.80157202438242,98.47609881296118,46.807828039781846,3.3044594161052294,Other
