Ticker,6m_return,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema9,ema9_dist,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,ema21w,sma30w,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,has_9m_vol,max_vol_25d,days_since_9m,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
TXG,2.504751604101303,1.2850257830208016,0.14943718187736743,0.049984118502041666,0.01189022557073048,-0.013523609001755702,66.37999725341797,64.28165055646754,0.032643012100430725,61.23822404959425,0.08396346046318412,0.0,0.0,58.62966677347819,11.34000015258789,4.853615199314565,4.082694879068478,168120314.78267783,1.4585971769659831,0.9501295137772399,0.02717838292572676,0.6070084504085018,0.9063938100492359,44.951918106201056,34.8196667989095,4.74,0.6190476190476191,33,True,True,63.56100006103516,62.371500396728514,58.62966677347819,52.61400009155273,0.75,0.125,-0.08300964293534661,0.06011736857310189,0.05732510378124099,0.05520919485091213,5.450549248124827,0.9090053407937124,1.2187941411479932,False,5995700,99,91.89065241665337,97.54745573456692,98.63614611580795,87.69341202743661,87.53788483011644,90.07816238634551,74.7966182804275,99.36193970330196,17.589527835380444,2.468495772850534,1.379805391609507,12.322539479980858,19.15776040835859,90.07816238634551,29.70170681129367,0.654011804115489,ARKK
PLSE,1.5553991668915785,1.0241726121469952,0.2564635431352268,-0.005117872125432771,0.11559744381668,0.02756275346095369,54.43000030517578,51.812935826567056,0.050509866635791496,48.60403760513852,0.11986581747318305,0.0,0.0,46.099666849772134,12.65999984741211,3.299368164392362,2.6046356907361847,29889051.534983445,1.0327125352900794,0.9140528355985947,0.4958719995377102,0.5235392714975067,0.8728817030293722,35.87252238315842,29.06216672261556,5.35,0.6031746031746031,35,True,True,51.53700065612793,49.457000160217284,46.099666849772134,39.37510009765625,1.0,0.0,-0.12927499029528744,0.08740284521427476,0.07050201065337867,0.07153224637139202,2.876581686084566,1.544214688665522,0.9655018187876158,False,1560400,99,91.00554314882757,97.77476471526559,98.38490987398309,87.69341202743661,81.34471207529111,75.37087254745573,90.08613814005423,99.0269580475355,18.19050087733291,2.2411867921518582,1.6310416334343596,12.322539479980858,20.553517307385544,75.37087254745573,48.181528154410586,0.9889934598819589,Other
ATRC,0.7928232038962082,0.8641323255514494,0.21579424735613728,0.009531071458748696,-0.01433092247020003,-0.0013200018185093173,52.959999084472656,51.57345289825034,0.026884881820068283,48.6241276765639,0.08917119165098317,0.0,0.0,46.12999992370605,25.860000610351562,1.0479504189676303,0.4100105736985571,42988115.10440254,0.5357463932894986,0.9625999999589608,0.7362026914346824,0.4400451153104756,0.567126605718541,39.21014660999224,33.79433345794678,7.03,0.5873015873015873,31,True,True,51.13699951171875,48.994999694824216,46.12999992370605,41.523799896240234,0.625,0.0,-0.07654686023075886,0.07962316444417093,0.039069463576611466,0.03915353808958615,1.2209050420276237,1.1150693958835707,0.8101003117742439,False,1880200,99,89.89870792789918,97.65114053278035,96.69803796458766,87.69341202743661,86.09427340883714,79.53421598341043,70.93635348540437,98.66007337693412,17.918128888179933,2.364810974637103,3.317913542829798,12.322539479980858,12.394321263359387,79.53421598341043,50.32700590205774,1.3558781304833307,Other
DINO,0.905064504213983,0.5506111641865331,0.22506540255706622,0.014790387868637568,-0.005447293428027709,-0.0038838373526522904,107.72000122070312,104.90541990073689,0.026829703580896362,99.75871134016747,0.0798054603310626,0.0,0.0,95.08195673624674,44.82985305786133,1.4028631341189157,1.1506935107639582,232086636.1626419,0.7179793139517668,0.8921387435918122,0.9072160076974259,0.6573735887553835,0.4775697145641047,83.05522768679073,72.90349833170573,5.29,0.6031746031746031,26,True,True,104.40800018310547,99.49549980163575,95.08195673624674,90.2883349609375,0.75,0.25,-0.11932065146532196,0.049442947726135195,0.0359520363721969,0.03646357088604301,1.9001273808158121,0.9004325618167838,0.505666584535177,False,4071600,99,89.78904131440422,96.97718934439305,93.128888179933,87.69341202743661,81.81926942096028,94.67219652257138,69.90748125697878,96.90540756101451,21.881081512202904,3.0387621630244057,6.887063327484447,12.322539479980858,33.892965385228905,94.67219652257138,33.77731695645238,3.110543946402935,OIL AND GAS DOWNSTREAM
PSX,0.503640812782176,0.4591918461640095,0.15206166919178868,0.015118220561340798,-0.0024311370193723135,-0.008704613176998326,258.510009765625,254.03188176114222,0.0176282125433902,243.67321991523477,0.06088806088560501,0.0,0.0,234.00397542317708,123.11431121826172,1.0997559683157279,1.0084898133383915,672003692.0318329,0.5658165068761204,0.9411375296327836,0.8566849125369927,1.5780281588412286,0.3771271175210097,205.8345084032734,187.71688283284504,6.93,0.6349206349206349,24,True,True,252.66900177001952,245.97342987060546,234.00397542317708,218.86334930419923,0.75,0.125,-0.0741710045309828,0.05776582803215663,0.026952428931775373,0.026131905340246266,1.1446402638227786,1.0717623345166845,0.41689706222897105,False,4438400,99,89.77947040995375,97.04099537406285,90.33737438187909,87.69341202743661,89.04530228106556,91.24262242781943,67.84973680012762,95.48572340086137,21.318192694209603,2.9749561333546017,9.678577125538363,12.322539479980858,17.650342957409478,91.24262242781943,50.494496729940984,4.53022810655607,OIL AND GAS DOWNSTREAM
RNG,0.8204541735136632,0.8364922739847016,0.09796437249960036,-0.09586170293759663,-0.016384121468565462,-0.008615716246118748,69.04000091552734,70.28675567437354,-0.017738117898373266,67.37083509769559,0.024775792305546877,0.0,0.0,65.71777750651042,24.687559127807617,1.7965503012309525,1.2204215745891447,95693882.2593666,0.8111281792282707,0.905319253531602,0.4463630567329173,0.712701773680117,0.4973182842391193,52.80620558566899,46.10910161336263,5.02,0.6031746031746031,32,True,True,70.95,68.41550025939941,65.71777750651042,56.6613623046875,0.625,0.125,-0.10439949374328625,0.05880967382545344,0.042846414568046214,0.043491451512023695,1.6769734225560153,0.782802306608404,0.7832614091530871,False,2947400,99,89.3128888179933,96.12777157441379,97.85452225235285,87.69341202743661,81.827245174669,90.7002711756261,62.46610304673791,98.58031583984686,18.663064284574894,3.888179933003669,2.1614292550646037,12.322539479980858,22.34806189184878,90.7002711756261,29.526240229701706,1.4356356675705855,CRM
SGP,0.03368657786064934,0.5096738107011852,0.08072809541845356,-0.057951028576740914,-0.055670837002220426,-0.006909110329367898,27.309999465942383,27.679738767532506,-0.013357759793015666,26.697550061389222,0.022940284900482416,0.0,0.0,25.992333475748698,17.559999465942383,0.5552391968411003,0.03446969168792626,2126015.1029520035,0.1496911199007992,0.8974387302569525,0.4974541199397185,0.17343510167756204,0.0,0.0,0.0,3.14,0.6507936507936508,30,True,True,27.625000190734863,26.935500144958496,25.992333475748698,23.752400093078613,0.625,0.0,-0.1424079085219839,0.06067482197206261,0.04891935221931154,0.04765391474160424,1.8402496833725348,1.0651762064866614,0.465915803278208,False,124100,99,88.8710320625299,93.15680331791356,98.31312809060455,87.69341202743661,76.00494496729941,89.67937470090924,76.72675067793907,96.39495932365608,20.64623544424948,6.859148189503907,1.7028234168128888,12.322539479980858,22.48364970489711,89.67937470090924,41.250598181528154,3.620992183761365,Other
ANL,0.805024015824606,0.47941180732973526,0.15278838630147765,0.023050857802568856,-0.02707930819445413,0.026879922828633777,15.09000015258789,14.667293105345218,0.028819704099908198,14.149644635121112,0.06645788934746136,0.0,0.0,13.825666586558023,0.8799999952316284,16.147727539039348,7.383333640186883,2370909.273317528,0.9466515483088153,0.8286187470347801,0.4238670619479736,0.08531969845203395,0.3094790598377269,12.088188885865444,11.52366663614909,2.39,0.5396825396825397,29,True,True,14.486999893188477,14.15949993133545,13.825666586558023,12.800999965667724,1.0,0.0,-0.2000000165856403,0.03999134070108438,0.07451745900132942,0.07485088354678797,2.4061015196939937,1.9317077434757772,0.4365309463199601,False,405000,99,88.86006540118042,91.01531344712076,90.65241665337373,87.69341202743661,72.09283777316956,98.00606157281864,91.51379805391609,95.88451108629765,25.35113255702664,9.000638060296698,9.363534854043706,12.322539479980858,29.805391609507097,98.00606157281864,51.63502951028872,4.131440421119796,Other
VLO,0.6486062888100148,0.5137696517217646,0.1672269242289577,0.039763657334418945,0.006738896515958378,-0.009050056358852499,385.42999267578125,372.52624766661444,0.03463848544898985,355.64053990771185,0.08376281504858729,0.0,0.0,341.6646677652995,153.14306640625,1.5167968862092165,1.4976323477558573,857850190.6171722,0.7181408997266111,0.9447942245787518,0.9084391773852118,2.222991644512124,0.4323935663005559,298.49046495508435,269.08106943766273,7.22,0.5555555555555556,26,True,True,368.45899963378906,356.87450103759767,341.6646677652995,321.95222106933596,0.625,0.125,-0.08648087492011576,0.08239364227672627,0.028139837979386274,0.027327089657440885,1.2157563402814604,1.2864337399730539,0.4698929260428887,False,3628200,99,88.62717339288564,97.60727388738236,89.5437868878609,87.69341202743661,84.46721965225714,77.77955016749083,75.45860583825171,96.45876535332589,20.616924549369916,2.408677620035093,10.472164619556548,12.322539479980858,19.708087414260646,77.77955016749083,55.05662785133195,3.5571861540915615,OIL AND GAS DOWNSTREAM
CLMT,0.9638134682042525,0.6162657957096233,0.19601611081134063,0.054953245359046436,0.04693004612238605,0.013467409202633724,56.439998626708984,53.134182703526605,0.062216369105136664,50.213018593041575,0.12401126656285771,0.0,0.0,47.89999987284342,17.389999389648438,2.2455434506976135,2.204996971637369,56053340.948721506,0.84271348594434,0.9141549607467372,0.7853152576288704,0.3387139934914819,0.528200183160005,41.35430351342266,36.932333374023436,6.5,0.5714285714285714,25,True,True,52.05099983215332,50.240499877929686,47.89999987284342,44.91279983520508,0.5,0.125,-0.10658518286592283,0.044311767520995936,0.04397382756178538,0.03949200007040795,1.9043260619075053,0.8772576104714147,0.5694182116919093,False,2670800,99,88.35181049609189,96.51858350614133,89.47200510448238,87.69341202743661,75.68591481895038,96.50661987557824,68.86265752113574,97.57537087254745,20.867562609666614,3.4973680012761204,10.543946402935077,12.322539479980858,22.667092040197797,96.50661987557824,32.684638698357,2.4405806348699954,CHEMICALS
